slug,papel,hub,tipo_kw,keyword,vol,kd,intent,fonte,url_cta,territorio
pilates,autoridade-comercial,Bem-estar,secundaria,pilates emagrece,12100,25,Informational,medido,/feminino/ioga-fitness/,pilates
pilates,autoridade-comercial,Bem-estar,secundaria,pilates solo,4400,14,Informational,medido,/feminino/ioga-fitness/,pilates
pilates,autoridade-comercial,Bem-estar,secundaria,roupa de pilates,1300,19,Commercial,medido,/feminino/ioga-fitness/,pilates
yoga,autoridade-comercial,Bem-estar,primaria,yoga,40500,61,Informational,medido,/feminino/ioga-fitness/,yoga
yoga,autoridade-comercial,Bem-estar,secundaria,tipos de yoga,1300,14,Informational,medido,/feminino/ioga-fitness/,yoga
yoga,autoridade-comercial,Bem-estar,secundaria,yoga para iniciantes,1300,31,Informational,medido,/feminino/ioga-fitness/,yoga
yoga,autoridade-comercial,Bem-estar,secundaria,posições de yoga,2400,21,Informational,medido,/feminino/ioga-fitness/,yoga
yoga,autoridade-comercial,Bem-estar,secundaria,hatha yoga,4400,29,Informational,medido,/feminino/ioga-fitness/,yoga
yoga,autoridade-comercial,Bem-estar,secundaria,vinyasa yoga,1900,20,Informational,medido,/feminino/ioga-fitness/,yoga
yoga,autoridade-comercial,Bem-estar,secundaria,ashtanga yoga,1900,19,Informational,medido,/feminino/ioga-fitness/,yoga
yoga,autoridade-comercial,Bem-estar,secundaria,saudação ao sol,1300,21,Informational,medido,/feminino/ioga-fitness/,yoga
natacao-guia,autoridade-comercial,Natacao,primaria,natação,40500,43,Informational,medido,/feminino/maio/,natacao
natacao-guia,autoridade-comercial,Natacao,secundaria,nado crawl,4400,18,Informational,medido,/feminino/maio/,natacao
natacao-guia,autoridade-comercial,Natacao,secundaria,tipos de nado,1000,15,Informational,medido,/feminino/maio/,natacao
natacao-guia,autoridade-comercial,Natacao,secundaria,como aprender a nadar,1300,29,Informational,medido,/feminino/maio/,natacao
natacao-guia,autoridade-comercial,Natacao,secundaria,natação emagrece,2400,28,Informational,medido,/feminino/maio/,natacao
natacao-guia,autoridade-comercial,Natacao,secundaria,maiô para natação,3600,22,Commercial,medido,/feminino/maio/,natacao
protetor-solar-facial,autoridade-ponte,Sol e pele,primaria,protetor solar facial,110000,37,Informational,medido,/feminino/camiseta-uv1/,protetor solar
protetor-solar-facial,autoridade-ponte,Sol e pele,secundaria,protetor solar com cor,40500,24,Informational,medido,/feminino/camiseta-uv1/,protetor solar
protetor-solar-facial,autoridade-ponte,Sol e pele,secundaria,protetor solar corporal,14800,25,Commercial,medido,/feminino/camiseta-uv1/,protetor solar
protetor-solar-facial,autoridade-ponte,Sol e pele,secundaria,protetor solar para pele oleosa,8100,26,Informational,medido,/feminino/camiseta-uv1/,protetor solar
protetor-solar-facial,autoridade-ponte,Sol e pele,secundaria,protetor solar fps 50,2400,21,Informational,medido,/feminino/camiseta-uv1/,protetor solar
